"Title","Description","URL","State","Type of Report ","City","Zip","Latitude","Longitude"
"Clery Act Report: University of Arkansas",,"http://studentaid.ed.gov/about/data-center/school/clery-act#arkansas","Arkansas","Clery ","Fayetteville",72701,36.067832,-94.173655
"Title IX: Tehachapi Public Schools Press Release","Departments of Justice and Education Reach Agreement with Tehachapi Calif. Public Schools to Resolve Harassment Allegations","http://www.ed.gov/news/press-releases/departments-justice-and-education-reach-agreement-tehachapi-calif-public-schools","California","Title IX","Tehachapi",93561,35.121373,-118.43302
"Letter of Findings in Tehachapi Unified School District (E.D. Cal.)","Sex based discrimination at educational institutions","http://www.justice.gov/crt/about/edu/documents/tehachapiletter.pdf","California","Department of Justice ","Tehachapi",93561,35.121373,-118.43302
"Clery Act Report: Ashford University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#ashford","California","Clery ","San Diego",92123,32.8264972,-117.1351586
"Clery Act Report: California State University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#calstate","California","Clery ","Long Beach",90802,33.764235,-118.201306
"Clery Act Report: Palo Alto College",,"http://studentaid.ed.gov/about/data-center/school/clery-act#paloalto","California","Clery ","Palo Alto",94304,37.3821803,-122.1874909
"Clery Act Report: Saint Mary's College of California",,"http://studentaid.ed.gov/about/data-center/school/clery-act#stmaryca","California","Clery ","Moraga",94556,37.841201,-122.108703
"Clery Act Report: University of California- Davis",,"http://studentaid.ed.gov/about/data-center/school/clery-act#ucdavis","California","Clery ","Davis",95616,38.538232,-121.761712
"Clery Act Report: University of California- Los Angeles",,"http://studentaid.ed.gov/about/data-center/school/clery-act#ucla","California","Clery ","Los Angeles",90095,34.068921,-118.445181
"Clery Act Report: University of California- San Diego",,"http://studentaid.ed.gov/about/data-center/school/clery-act#ucsd","California","Clery ","La Jolla",92093,32.880398,-117.242188
"Title IX: West Contra Costa Unified School District Compliance Review","West Contra Costa Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/09095001-a.html","California ","Title IX","Richmond",94804,37.933832,-122.358491
"Title IX: West Contra Costa Unified School District Resolution Agreement","West Contra Costa Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/09095001-b.html","California ","Title IX","Richmond",94804,37.933832,-122.358491
"Title IX: Tehachapi Public Schools Compliance Resolution","Tehachapi Public Schools Compliance Resolution","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/09111031-a.html","California ","Title IX","Tehachapi",93561,35.121373,-118.43302
"Title IX: Tehachapi Public Schools Resolution Agreement","Tehachapi Public Schools Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/09111031-b.html","California ","Title IX","Tehachapi",93561,35.121373,-118.43302
"Title IX: Yale University Press Release","U.S. Department of Education Announces Resolution of Yale University Civil Rights Investigation","http://www.ed.gov/news/press-releases/us-department-education-announces-resolution-yale-university-civil-rights-invest","Connecticut","Title IX","New Haven",6520,41.316324,-72.922343
"Title IX: Yale University Compliance Resolution","Yale University Compliance Resolution","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01112027-a.html","Connecticut","Title IX","New Haven",6520,41.316324,-72.922343
"Title IX: Yale Univeristy Resolution Agreement","Yale University Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01112027-b.html","Connecticut","Title IX","New Haven",6520,41.316324,-72.922343
"Clery Act Report: Yale University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#yale","Connecticut","Clery ","New Haven",6520,41.316324,-72.922343
"Clery Act Report: Delaware State University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#dsu","Delaware","Clery ","Dover",19901,39.18688,-75.542057
"Clery Act Report: University of Delaware",,"http://studentaid.ed.gov/about/data-center/school/clery-act#uofd","Delaware","Clery ","Newark",19716,39.67795,-75.750611
"Clery Act Report: Wesley College",,"http://studentaid.ed.gov/about/data-center/school/clery-act#wesley","Delaware","Clery ","Dover",19901,39.163115,-75.527609
"Title IX: Hillsborough County School District Compliance Resolution","Hillsborough County School District Compliance Resolution","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/04095002-a.html","Florida","Title IX","Tampa",33602,27.949249,-82.452184
"Title IX: Hillsborough County School District Resolution Agreement","Hillsborough County School District Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/04095002-b.html","Florida","Title IX","Tampa",33602,27.949249,-82.452184
"Clery Act Report: Florida State University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#floridasu","Florida","Clery ","Tallahassee",32306,30.441878,-84.298489
"Title IX: Idaho Falls School District","Idaho Falls School District","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/10095002.html","Idaho","Title IX","Idaho Falls",83401,43.493652,-112.019073
"Clery Act Report: Northern Illinois University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#niu","Illinois","Clery ","DeKalb",60115,41.934299,-88.773718
"Title IX: Evansville-Vanderburgh School Corporation Press Release","Office for Civil Rights Announces Resolution of Title IX Compliance Review Involving the Evansville-Vanderburgh School Corporation in Evansville Ind.","http://www.ed.gov/news/press-releases/office-civil-rights-announces-resolution-title-ix-compliance-review-involving-ev","Indiana","Title IX","Evansville",47713,37.9723424,-87.5639389
"Title IX: Evansville-Vanderburgh School Corporation Compliance Review","Evansville-Vanderburgh Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05115002-a.html","Indiana","Title IX","Evansville",47713,37.9723424,-87.5639389
